timestamp,target_timestamp,workload,scenario,current_requests_per_second,request_rate_lag_1,request_rate_rolling_mean,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,current_replicas,scaling_event,target_requests_per_second,split
2026-07-25T09:01:00Z,2026-07-25T09:02:00Z,demo-workload,normal,12.124,12.065,12.063,0.362,230731435,0.048,0.001,2,none,12.194,train
2026-07-25T09:01:30Z,2026-07-25T09:02:30Z,demo-workload,normal,12.168,12.124,12.119,0.367,231356118,0.049,0.001,2,none,12.199,train
2026-07-25T09:02:00Z,2026-07-25T09:03:00Z,demo-workload,normal,12.194,12.168,12.162,0.369,231721426,0.05,0.001,2,none,12.182,train
2026-07-25T09:02:30Z,2026-07-25T09:03:30Z,demo-workload,normal,12.199,12.194,12.187,0.37,231787142,0.05,0.001,2,none,12.145,train
2026-07-25T09:03:00Z,2026-07-25T09:04:00Z,demo-workload,normal,12.182,12.199,12.191667,0.368,231546032,0.05,0.001,2,none,12.091,train
2026-07-25T09:03:30Z,2026-07-25T09:04:30Z,demo-workload,normal,12.145,12.182,12.175333,0.364,231024640,0.049,0.001,2,none,12.028,train
2026-07-25T09:04:00Z,2026-07-25T09:05:00Z,demo-workload,normal,12.091,12.145,12.139333,0.359,230280363,0.047,0.001,2,none,11.962,train
2026-07-25T09:04:30Z,2026-07-25T09:05:30Z,demo-workload,normal,12.028,12.091,12.088,0.353,229395136,0.046,0.001,2,none,11.9,train
2026-07-25T09:05:00Z,2026-07-25T09:06:00Z,demo-workload,normal,11.962,12.028,12.027,0.346,228466409,0.046,0.001,2,none,11.849,train
2026-07-25T09:05:30Z,2026-07-25T09:06:30Z,demo-workload,normal,11.9,11.962,11.963333,0.34,227596424,0.048,0.001,2,none,11.814,train
2026-07-25T09:06:00Z,2026-07-25T09:07:00Z,demo-workload,normal,11.849,11.9,11.903667,0.335,226880953,0.049,0.001,2,none,11.8,train
2026-07-25T09:06:30Z,2026-07-25T09:07:30Z,demo-workload,normal,11.814,11.849,11.854333,0.331,226398759,0.05,0.001,2,none,11.808,train
2026-07-25T09:07:00Z,2026-07-25T09:08:00Z,demo-workload,normal,11.8,11.814,11.821,0.33,226202926,0.05,0.001,2,none,11.837,train
2026-07-25T09:07:30Z,2026-07-25T09:08:30Z,demo-workload,normal,11.808,11.8,11.807333,0.331,226315012,0.05,0.001,2,none,11.884,train
2026-07-25T09:08:00Z,2026-07-25T09:09:00Z,demo-workload,normal,11.837,11.808,11.815,0.334,226722677,0.049,0.001,2,none,11.944,train
2026-07-25T09:08:30Z,2026-07-25T09:09:30Z,demo-workload,normal,11.884,11.837,11.843,0.338,227381044,0.048,0.001,2,none,12.01,train
2026-07-25T09:09:00Z,2026-07-25T09:10:00Z,demo-workload,normal,11.944,11.884,11.888333,0.344,228217636,0.046,0.001,2,none,12.075,train
2026-07-25T09:09:30Z,2026-07-25T09:10:30Z,demo-workload,normal,12.01,11.944,11.946,0.351,229140355,0.045,0.001,2,none,12.131,train
2026-07-25T09:10:00Z,2026-07-25T09:11:00Z,demo-workload,normal,12.075,12.01,12.009667,0.357,230047623,0.047,0.001,2,none,12.173,train
2026-07-25T09:10:30Z,2026-07-25T09:11:30Z,demo-workload,normal,12.131,12.075,12.072,0.363,230839562,0.048,0.001,2,none,12.197,train
2026-07-25T09:11:00Z,2026-07-25T09:12:00Z,demo-workload,normal,12.173,12.131,12.126333,0.367,231428991,0.049,0.001,2,none,12.198,train
2026-07-25T09:11:30Z,2026-07-25T09:12:30Z,demo-workload,normal,12.197,12.173,12.167,0.37,231751021,0.05,0.001,2,none,12.177,train
2026-07-25T09:12:00Z,2026-07-25T09:13:00Z,demo-workload,normal,12.198,12.197,12.189333,0.37,231770203,0.05,0.001,2,none,12.138,train
2026-07-25T09:12:30Z,2026-07-25T09:13:30Z,demo-workload,normal,12.177,12.198,12.190667,0.368,231484423,0.049,0.001,2,none,12.082,train
2026-07-25T09:13:00Z,2026-07-25T09:14:00Z,demo-workload,normal,12.138,12.177,12.171,0.364,230925143,0.048,0.001,2,none,12.018,train
2026-07-25T09:13:30Z,2026-07-25T09:14:30Z,demo-workload,normal,12.082,12.138,12.132333,0.358,230153931,0.047,0.001,2,none,11.952,train
