timestamp,workload,requests_per_second,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,replicas,scaling_event,scenario,collection_interval_seconds,data_source,run_status
2026-07-25T09:00:00Z,demo-workload,12,0.35,229000000,0.045,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:00:30Z,demo-workload,12.065,0.357,229916145,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:01:00Z,demo-workload,12.124,0.362,230731435,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:01:30Z,demo-workload,12.168,0.367,231356118,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:02:00Z,demo-workload,12.194,0.369,231721426,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:02:30Z,demo-workload,12.199,0.37,231787142,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:03:00Z,demo-workload,12.182,0.368,231546032,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:03:30Z,demo-workload,12.145,0.364,231024640,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:04:00Z,demo-workload,12.091,0.359,230280363,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:04:30Z,demo-workload,12.028,0.353,229395136,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:05:00Z,demo-workload,11.962,0.346,228466409,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:05:30Z,demo-workload,11.9,0.34,227596424,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:06:00Z,demo-workload,11.849,0.335,226880953,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:06:30Z,demo-workload,11.814,0.331,226398759,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:07:00Z,demo-workload,11.8,0.33,226202926,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:07:30Z,demo-workload,11.808,0.331,226315012,0.05,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:08:00Z,demo-workload,11.837,0.334,226722677,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:08:30Z,demo-workload,11.884,0.338,227381044,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:09:00Z,demo-workload,11.944,0.344,228217636,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
