timestamp,workload,requests_per_second,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,replicas,scaling_event,scenario,collection_interval_seconds,data_source,run_status
2026-07-25T09:00:00Z,demo-workload,12.000,0.350,229000000,0.045,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:00:30Z,demo-workload,12.065,0.357,229916145,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:01:00Z,demo-workload,12.124,0.362,230731435,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:01:30Z,demo-workload,12.168,0.367,231356118,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:02:00Z,demo-workload,12.194,0.369,231721426,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:02:30Z,demo-workload,12.199,0.370,231787142,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:03:00Z,demo-workload,12.182,0.368,231546032,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:03:30Z,demo-workload,12.145,0.364,231024640,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:04:00Z,demo-workload,12.091,0.359,230280363,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:04:30Z,demo-workload,12.028,0.353,229395136,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:05:00Z,demo-workload,11.962,0.346,228466409,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:05:30Z,demo-workload,11.900,0.340,227596424,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:06:00Z,demo-workload,11.849,0.335,226880953,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:06:30Z,demo-workload,11.814,0.331,226398759,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:07:00Z,demo-workload,11.800,0.330,226202926,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:07:30Z,demo-workload,11.808,0.331,226315012,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:08:00Z,demo-workload,11.837,0.334,226722677,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:08:30Z,demo-workload,11.884,0.338,227381044,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:09:00Z,demo-workload,11.944,0.344,228217636,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:09:30Z,demo-workload,12.010,0.351,229140355,0.045,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:10:00Z,demo-workload,12.075,0.357,230047623,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:10:30Z,demo-workload,12.131,0.363,230839562,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:11:00Z,demo-workload,12.173,0.367,231428991,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:11:30Z,demo-workload,12.197,0.370,231751021,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:12:00Z,demo-workload,12.198,0.370,231770203,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:12:30Z,demo-workload,12.177,0.368,231484423,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:13:00Z,demo-workload,12.138,0.364,230925143,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:13:30Z,demo-workload,12.082,0.358,230153931,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:14:00Z,demo-workload,12.018,0.352,229255688,0.045,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:14:30Z,demo-workload,11.952,0.345,228329297,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:15:00Z,demo-workload,11.891,0.339,227476740,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:15:30Z,demo-workload,11.842,0.334,226791874,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:16:00Z,demo-workload,11.811,0.331,226350091,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:16:30Z,demo-workload,11.800,0.330,226200027,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:17:00Z,demo-workload,11.811,0.331,226358201,0.050,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:17:30Z,demo-workload,11.843,0.334,226807200,0.049,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:18:00Z,demo-workload,11.893,0.339,227497595,0.048,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:18:30Z,demo-workload,11.954,0.345,228353385,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:19:00Z,demo-workload,12.020,0.352,229280358,0.046,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:19:30Z,demo-workload,12.084,0.358,230176467,0.047,0.001,2,none,normal,30,deterministic-scenario-profile-v1,passed
