timestamp,workload,requests_per_second,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,replicas,scaling_event,scenario,collection_interval_seconds,data_source,run_status
2026-07-25T09:21:00Z,demo-workload,10.000,0.280,219200000,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:21:30Z,demo-workload,10.033,0.287,220116145,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:22:00Z,demo-workload,10.062,0.292,220931435,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:22:30Z,demo-workload,10.084,0.297,221556118,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:23:00Z,demo-workload,10.097,0.299,221921426,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:23:30Z,demo-workload,10.100,0.300,221987142,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:24:00Z,demo-workload,10.091,0.298,221746032,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:24:30Z,demo-workload,10.072,0.294,221224640,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:25:00Z,demo-workload,10.046,0.289,220480363,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:25:30Z,demo-workload,10.014,0.283,219595136,0.050,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:26:00Z,demo-workload,27.981,0.446,242466409,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:26:30Z,demo-workload,27.950,0.440,241596424,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:27:00Z,demo-workload,27.924,0.435,240880953,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:27:30Z,demo-workload,27.907,0.431,240398759,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:28:00Z,demo-workload,27.900,0.430,240202926,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:28:30Z,demo-workload,27.904,0.431,240315012,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:29:00Z,demo-workload,27.919,0.434,240722677,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:29:30Z,demo-workload,27.942,0.438,241381044,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:30:00Z,demo-workload,27.972,0.444,242217636,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:30:30Z,demo-workload,28.005,0.451,243140355,0.080,0.002,2,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:31:00Z,demo-workload,55.037,0.667,273447623,0.110,0.002,3,scale_up,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:31:30Z,demo-workload,55.066,0.673,274239562,0.110,0.002,3,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:32:00Z,demo-workload,55.087,0.677,274828991,0.110,0.002,3,none,progressive,30,deterministic-scenario-profile-v1,passed
2026-07-25T09:32:30Z,demo-workload,55.098,0.680,275151021,0.110,0.002,3,none,progressive,30,deterministic-scenario-profile-v1,passed
