timestamp,workload,requests_per_second,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,replicas,scaling_event,scenario,collection_interval_seconds,data_source,run_status
2026-07-25T10:24:00Z,demo-workload,48.000,0.640,269600000,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:24:30Z,demo-workload,48.039,0.647,270516145,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:25:00Z,demo-workload,48.074,0.652,271331435,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:25:30Z,demo-workload,48.101,0.657,271956118,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:26:00Z,demo-workload,48.117,0.659,272321426,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:26:30Z,demo-workload,48.119,0.660,272387142,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:27:00Z,demo-workload,48.109,0.658,272146032,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:27:30Z,demo-workload,48.087,0.654,271624640,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:28:00Z,demo-workload,48.055,0.649,270880363,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:28:30Z,demo-workload,48.017,0.643,269995136,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:29:00Z,demo-workload,47.977,0.636,269066409,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:29:30Z,demo-workload,47.940,0.630,268196424,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:30:00Z,demo-workload,47.909,0.625,267480953,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:30:30Z,demo-workload,47.889,0.621,266998759,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:31:00Z,demo-workload,47.880,0.620,266802926,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:31:30Z,demo-workload,47.885,0.621,266915012,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:32:00Z,demo-workload,47.902,0.624,267322677,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:32:30Z,demo-workload,47.931,0.628,267981044,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:33:00Z,demo-workload,47.966,0.634,268817636,0.090,0.004,3,none,recovery,30,deterministic-scenario-profile-v1,passed
